School,Salary Type,Faculty Level,Salary
Amherst,Real,Full,"155,833"
Bates,Real,Full,"134,487"
Bowdoin,Real,Full,"146,857"
Carleton,Real,Full,"141,305"
Claremont McKenna,Real,Full,"176,098"
Colby,Real,Full,"145,971"
Colgate,Real,Full,"151,654"
Davidson,Real,Full,"134,729"
Furman,Real,Full,"102,723"
Grinnell,Real,Full,"139,558"
Hamilton,Real,Full,"142,149"
Haverford,Real,Full,"131,176"
Macalester,Real,Full,"126,583"
Middlebury,Real,Full,"140,387"
Oberlin,Real,Full,"122,742"
Pomona,Real,Full,"160,491"
Swarthmore,Real,Full,"156,329"
Vassar,Real,Full,"142,788"
Washington and Lee,Real,Full,"143,853"
Wesleyan,Real,Full,"158,455"
Williams,Real,Full,"149,903"
Amherst,Cola-Adjusted,Full,"142,275"
Bates,Cola-Adjusted,Full,"153,181"
Bowdoin,Cola-Adjusted,Full,"137,458"
Carleton,Cola-Adjusted,Full,"137,914"
Claremont McKenna,Cola-Adjusted,Full,"60,402"
Colby,Cola-Adjusted,Full,"177,063"
Colgate,Cola-Adjusted,Full,"175,008"
Davidson,Cola-Adjusted,Full,"112,095"
Furman,Cola-Adjusted,Full,"114,331"
Grinnell,Cola-Adjusted,Full,"168,586"
Hamilton,Cola-Adjusted,Full,"176,976"
Haverford,Cola-Adjusted,Full,"38,828"
Macalester,Cola-Adjusted,Full,"128,355"
Middlebury,Cola-Adjusted,Full,"144,318"
Oberlin,Cola-Adjusted,Full,"150,850"
Pomona,Cola-Adjusted,Full,"55,048"
Swarthmore,Cola-Adjusted,Full,"136,944"
Vassar,Cola-Adjusted,Full,"139,219"
Washington and Lee,Cola-Adjusted,Full,"164,424"
Wesleyan,Cola-Adjusted,Full,"154,335"
Williams,Cola-Adjusted,Full,"148,554"
Amherst,Real,Associate,"110,986"
Bates,Real,Associate,"105,217"
Bowdoin,Real,Associate,"113,680"
Carleton,Real,Associate,"107,210"
Claremont McKenna,Real,Associate,"128,042"
Colby,Real,Associate,"105,841"
Colgate,Real,Associate,"108,479"
Davidson,Real,Associate,"98,243"
Furman,Real,Associate,"82,983"
Grinnell,Real,Associate,"105,908"
Hamilton,Real,Associate,"108,150"
Haverford,Real,Associate,"101,031"
Macalester,Real,Associate,"95,133"
Middlebury,Real,Associate,"104,368"
Oberlin,Real,Associate,"94,994"
Pomona,Real,Associate,"120,016"
Swarthmore,Real,Associate,"111,489"
Vassar,Real,Associate,"111,493"
Washington and Lee,Real,Associate,"115,712"
Wesleyan,Real,Associate,"111,008"
Williams,Real,Associate,"106,040"
Amherst,Cola-Adjusted,Associate,"101,330"
Bates,Cola-Adjusted,Associate,"119,842"
Bowdoin,Cola-Adjusted,Associate,"106,405"
Carleton,Cola-Adjusted,Associate,"104,637"
Claremont McKenna,Cola-Adjusted,Associate,"43,918"
Colby,Cola-Adjusted,Associate,"128,386"
Colgate,Cola-Adjusted,Associate,"125,185"
Davidson,Cola-Adjusted,Associate,"81,738"
Furman,Cola-Adjusted,Associate,"92,360"
Grinnell,Cola-Adjusted,Associate,"127,936"
Hamilton,Cola-Adjusted,Associate,"134,647"
Haverford,Cola-Adjusted,Associate,"29,905"
Macalester,Cola-Adjusted,Associate,"96,465"
Middlebury,Cola-Adjusted,Associate,"107,290"
Oberlin,Cola-Adjusted,Associate,"116,748"
Pomona,Cola-Adjusted,Associate,"41,166"
Swarthmore,Cola-Adjusted,Associate,"97,665"
Vassar,Cola-Adjusted,Associate,"108,706"
